## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
sdorange49,Orange Soft Drink (250 ML),Drinks,,http://127.0.0.1:5500/images/49.png,38.9,http://127.0.0.1:5500/orangesoftdrink.html,31,15.56,,,,,,,,,,,
prunejuice14,Prune Juice - Sunsweet (1 Ltr),Drinks,,http://127.0.0.1:5500/images/14.png,38,http://127.0.0.1:5500/prunejuice.html,903,7.6,,,,,,,,,,,
sdcocacola15,Coca Cola Zero Can (330 ML),Drinks,,http://127.0.0.1:5500/images/15.png,220,http://127.0.0.1:5500/cocacolazerocan.html,982,88,,,,,,,,,,,
sdsprite16,Sprite Bottle (2 Ltr),Drinks,,http://127.0.0.1:5500/images/16.png,75,http://127.0.0.1:5500/spritebottle.html,103,75,,,,,,,,,,,
mixedjuice13,Mixed Fruit Juice (1 Ltr),Drinks,,http://127.0.0.1:5500/images/13.png,38,http://127.0.0.1:5500/mixedfruitjuice.html,444,15.2,,,,,,,,,,,
aamrasjuice50,Aamras Juice (250 ML),Drinks,,http://127.0.0.1:5500/images/50.png,52,http://127.0.0.1:5500/aamrasjuice.html,520,10.4,,,,,,,,,,,
cocunut51,Coconut Water (1000 ML),Drinks,,http://127.0.0.1:5500/images/51.png,610,http://127.0.0.1:5500/coconutwater.html,939,61,,,,,,,,,,,
ceresorange52,Ceres Orange Juice (1 Ltr),Drinks,,http://127.0.0.1:5500/images/52.png,280,http://127.0.0.1:5500/ceresorangejuice.html,282,112,,,,,,,,,,,
daburglucose53,Dabur Glucose D (250 Gm),Drinks,,http://127.0.0.1:5500/images/53.png,210,http://127.0.0.1:5500/daburglucosed.html,804,63,,,,,,,,,,,
mixlemon54,Mix Lemon Flavour (50 Gm),Drinks,,http://127.0.0.1:5500/images/54.png,15,http://127.0.0.1:5500/mixlemonflavour.html,889,6,,,,,,,,,,,
